,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
421,2022,2560.0,Indofood Agri Resources,Yes,yes,An,2017.0,12/31/2018,6 Month,12/29/2017,Indofood Suskes Makmur Tbk,"Salim Ivomas Pratama (SIMP), CMAA, PP London Sumatra Indonesia (Lonsum)","Amanda, Bimoli, Delima, Happy, Indo Agri, Malinda, Palmia, Simas","Amanda,  Bimoli,  Delima,  Happy,  Indo Agri,  Malinda,  Palmia,  Simas",,www.indofoodagri.com,,Singapore,Publicly traded,SGX:5JS,Food Products,Consumer Goods,,276530000.0,,1630000000.0,SGD,480506993.2,1055061160.0,10/31/2018,,,,,,,,,,,,No,Yes,No,No,1.0,,6.0,2.25,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
423,2024,,Indofood Sukses Makmur,No - profiled under subsidiary,,Jonathan,,4/19/2017,12 Month,4/19/2018,CAB Holdings Limited,"Indofood CBP, China Minzhong Food Corporation Ltd.","Cap Enak, Govit, Indoeskrim, Indomie, Indomilk, Mi Telur Cap3 Ayam, Milkuat, Orchid Butter, Pop Bihun, Pop Mie, Promina, Provita, PT Indofood Suskes Makmur Tbk, Pt Indolakto, PT Inti Abadi Kemasindo, PT Surya Rengo Containers, PTISM, Sakura, Sarimi, Sun, Supermi, Tiga Sapi","Cap Enak,  Govit,  Indoeskrim,  Indomie,  Indomilk,  Mi Telur Cap3 Ayam,  Milkuat,  Orchid Butter"," Pop Bihun,  Pop Mie,  Promina,  Provita,  PT Indofood Suskes Makmur Tbk,  Pt Indolakto,  PT Inti Abadi Kemasindo,  PT Surya Rengo Containers,  PTISM,  Sakura,  Sarimi,  Sun,  Supermi,  Tiga Sapi",www.indofood.com,,Indonesia,Publicly traded,Jakarta:INDF,Food Products,Consumer Goods,,69800000000000.0,,66750000000000.0,IDR,5025600000.0,4806000000.0,4/19/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,0.5,,2/13/2019 5:22:08 PM,,,
424,2246,2649.0,Kerry Group,yes,yes,Philip,2016.0,3/10/2017,9 Month,12/10/2017,,"Noon Products, Quest Food Ingredients Group, Rollover, Red Arrow Products, Island Oasis, Wellmune, Betapol, SuCrest GmbH","Big Train, Charleville, Cheestrings, Dairygold, Denny, Fire & Smoke, Low Low, Mattessons, Richmond, Wall's, Yollies","Big Train,  Charleville,  Cheestrings,  Dairygold,  Denny,  Fire & Smoke,  Low Low,  Mattessons"," Richmond,  Wall's,  Yollies",www.kerrygroup.com,,Ireland,Publicly traded,IE:KRZ,Food Products,Consumer Goods,,13050000000.0,,6130000000.0,EUR,14171399550.0,6656757030.0,3/10/2017,kerryfoodgroup,,,,,,,,,,,No,Yes,No,No,2.0,,3.0,3.0,,2/13/2019 5:22:08 PM,,,
426,2248,2388.0,Kesko Group,Yes,yes,Jonathan,2016.0,9/10/2018,9 Month,2/5/2018,,Kesko Food,"K-Citymarket, Kesko Corporation, Kespros, K-extrachains, K-market, Pirkka, Rautakesko","K-Citymarket,  Kesko Corporation,  Kespros,  K-extrachains,  K-market,  Pirkka,  Rautakesko",,www.kesko.fi,,Finland,Publicly traded,FI: KESKOB,Food Retailers & Wholesalers,Retail/Wholesale,,4300000000.0,,10180000000.0,EUR,4669503300.0,11054777580.0,5/5/2017,Kesko_Oyj,,,,,,,,,,,Yes,Yes,Yes,No,3.0,,13.0,4.0,,2/13/2019 5:22:08 PM,,,
439,2441,2845.0,Lindt & Spr\FCngli,Yes,yes,Philip,2016.0,4/26/2017,9 Month,1/26/2018,,"Ghirardelli, Russell Stover Candies, Caffarel, Hofbauer, K\FCfferle","Caffarel, Chocoladefabriken Lindt & Sprungli AG, Ghirardelli, Hofbauer, Pangburn, Russel Stover, Whitman's","Caffarel,  Chocoladefabriken Lindt & Sprungli AG,  Ghirardelli,  Hofbauer,  Pangburn,  Russel Stover,  Whitman's",,www.lindtusa.com,,Switzerland,Publicly traded,CH: LISN,Food Products,Consumer Goods,,14830000000.0,,3900000000.0,CHF,14716328050.0,3870106500.0,4/26/2017,Lindt_Chocolate,,,,,,,,,,,No,Yes,No,No,1.0,,8.0,2.0,,2/13/2019 5:22:08 PM,,,
442,2444,143.0,Lion Corporation,Yes,yes,Philip,2016.0,4/26/2017,Predictable,Predictable,,,,,,www.lion.co.jp/en,,Japan,Publicly traded,TKO: 4912,Personal Care Products/Appliances,Consumer Goods,,601820000000.0,,395670000000.0,JPY,5077555340.0,3338267790.0,4/26/2017,,,,,,,,,,,,No,Yes,No,No,2.0,,6.0,2.0,,1/26/2019 2:14:52 AM,,,
449,2451,,Lloyd's Banking Group,No exposure,,,,7/22/2015,-,,,,,,,www.lloydsbankinggroup.com,,United Kingdom,Publicly traded,UK: LLOY,Banks,Financials,,39300000000.0,,,EUR,42677088300.0,0.0,7/22/2015,,,,,,,,,,,,,,,,0.0,,0.0,3.0,,1/26/2019 2:14:52 AM,,,
450,2606,,Meiji Holdings,"No commitment, has exposure",,Jonathan,,9/12/2018,12 Month,8/30/2017,,"Meiji Co, Meiji Seika Pharma Co",,,,www.meiji.com/global,,Japan,Publicly traded,Tokyo: 2269,Food Products,Consumer Goods,,1440000000000.0,,1220000000000.0,JPY,12149280000.0,10293140000.0,8/30/2016,,,,,,,,,,,,No,Yes,No,No,0.0,,2.0,2.0,,1/26/2019 2:14:58 AM,,,
463,2652,2414.0,Minerva,Yes,yes,Philip,2017.0,3/20/2017,9 Month,12/20/2017,,"Eurominerva, Pul, Frigomec, Carrasco, Minerva Fine Foods",Minerva SA,Minerva SA,,http://portal.minervafoods.com/en,,Brazil,Publicly traded,Bovespa: BEEF3,Food Products,Consumer Goods,,2420000000.0,,9650000000.0,BRL,598625720.0,2387081900.0,3/20/2017,,,,,,,,,,,,no,no,no,yes,2.0,,3.0,3.0,,2/13/2019 5:22:08 PM,,,
473,2801,164.0,New Britain Palm Oil,Yes,yes,Philip,2016.0,10/10/2018,6 Month,8/12/2018,Sime Darby,"Poliamba, Milne Bay Estates, New Britain Oils, West New Britain, Ramu Agricultural Industries, Higaturu Oil Palm, Guadalcanal 
Plains Palm Oil",,,,www.nbpol.com.pg,,Papua New Guinea,Publicly traded,Subsidiary,Farming,Consumer Goods,No,,No,,,,,2/12/2018,,,,,,,,,,,,No,Yes,No,No,1.0,,7.0,6.5,,1/26/2019 2:14:40 AM,,,
