,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
2136,1649,,Golden Plantation TBK,Notes included,,Philip,,7/7/2016,-,,JOM Prawarsa Indonesia,Bumi Raya Investindo,,,,,,Indonesia,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,0.25,,1/26/2019 2:14:52 AM,,,
2164,1934,,House Foods,"No commitment, has exposure",,Jonathan,,8/10/2018,12 Month,6/19/2018,,"House Wellness Foods, Sun House Foods, Sun Supply, House Ai-Factory, Asaoka Spice K.K., Vox trading, Delica Chef, Horie Yamatoya",,,,housefoods-group.com/en,,Japan,Publicly traded,Tokyo: 2810,Food Products,Consumer Goods,,308070000000.0,,283810000000.0,JPY,2599186590.0,2394504970.0,6/19/2017,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,1/26/2019 2:14:34 AM,,,
2168,2115,,Ito En,"No commitment, has exposure",,Jonathan,,8/10/2018,12 Month,6/14/2018,,,"Oi Ocha, Tea's Tea, Tully's Coffee","Oi Ocha,  Tea's Tea,  Tully's Coffee",,www.itoen-global.com,,Japan,Publicly traded,Tokyo: 2593,Non-Alcoholic Beverages/Drinks,Consumer Goods,,457280000000.0,,475870000000.0,JPY,3858071360.0,4014915190.0,6/14/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,
2169,2116,2091.0,Itochu Corporation,yes,yes,Jonathan,2016.0,4/18/2017,6 Month,10/18/2017,,"Itochu-Shokuhin co., Nippon Access, Dole International Holdings, Worldwide Packaged Foods, Asia Fresh Businesses, Metsa Fibre, Cenibra",,,,www.itochu.co.jp/en/,,Japan,Publicly traded,Tokyo: 8001,Food Retailers & Wholesalers,Retail/Wholesale,,2490000000000.0,,5080000000000.0,JPY,21008130000.0,42859960000.0,4/18/2017,,,,,,,,,,,,no,yes,yes,no,2.0,,3.0,2.25,,1/26/2019 2:14:40 AM,,,
2186,2326,,Kusuri No Aoki,"No commitment, has exposure",,Jonathan,,8/13/2018,12 Month,5/31/2018,,,,,,www.kusuri-aoki.co.jp/contct/index.html,,Japan,Publicly traded,Tokyo: 3549,Drug Retailers,Retail/Wholesale,,167990000000.0,,163460000000.0,JPY,1417331630.0,1379112020.0,5/31/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:46 AM,,,
2202,2474,1929.0,Lowe's Companies,yes,yes,An,2016.0,12/29/2018,6 Month,9/30/2017,,"Orchard Supply Hardware, Masters Home Improvement (joint-venture with Woolworth's)",Lowe's Cos. Inc.,Lowe's Cos. Inc.,,www.lowes.com,,United States,Publicly traded,NYSE: LOW,Home Goods Retail,Retail/Wholesale,,73770000000.0,,68620000000.0,USD,71190000000.0,65020000000.0,11/25/2018,Lowes,,,,,,,,,,,no,no,yes,no,1.0,,3.0,1.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
2230,3128,,Prada,"No commitment, has exposure",,Jonathan,,11/30/2016,12 Month,11/30/2017,,,"Car Shoe, Church's, Miu Miu","Car Shoe,  Church's,  Miu Miu",,www.pradagroup.com,,Italy,Publicly traded,Hong Kong: 1913,Clothing,Consumer Goods,,69980000000.0,,30350000000.0,HKD,8995089240.0,3901128300.0,11/30/2016,Prada,,,,,,,,,,,No,No,No,No,0.0,,3.0,1.0,,2/13/2019 5:22:08 PM,,,
2245,295,1847.0,Apple,yes,yes,Laura,2016.0,10/30/2018,6 Month,9/15/2017,,,,,,www.apple.com,,UNITED STATES,Publicly traded,Nasdaq: AAPL,Computers/Consumer Electronics,Technology,,1030000000000.0,,228570000000.0,USD,729220000000.0,214230000000.0,2017,AppleNews,,,,,,,,,,,no,no,yes,no,1.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,"market capitalization, annual revenue, finance year"
2252,302,,Arata,"No commitment, has exposure",,An,,8/7/2018,12 Month,6/14/2018,,"Japell (Hong Kong) Co, Yasushi Trading Co, Japeru Co",,,,www.arata-gr.jp,,Japan,Publicly traded,Tokyo: 2733,Personal Care Products/Appliances,Consumer Goods,,97710000000.0,,732910000000.0,JPY,326765010.0,5389471230.0,08/02/2018,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,"Market cap, annual rev"
2270,785,1824.0,Cermaq,Yes,yes,Jonathan,2016.0,10/5/2016,12 Month,10/5/2017,Mitsubishi,Norgrain,Cermaq Group AS,Cermaq Group AS,,www.cermaq.com,,Norway,Publicly traded,Subsidiary,Farming,Agriculture,No,,,11634000000.0,NOK,,1359525972.0,1/1/2012,,,,,,,,,,,,yes,No,No,No,1.0,,0.0,1.5,,2/13/2019 5:22:08 PM,,,
2288,967,1779.0,CostCo,yes,yes,Luke,2016.0,9/4/2018,6 Month,2/18/2018,,,Costco Wholesale Corp.,Costco Wholesale Corp.,,www.costco.com,,United States,Public,COST,Food Retailers & Wholesalers,Retail/Wholesale,,102240000000.0,,129030000000.0,USD,69550000000.0,118720000000.0,2017,Costco,,,,,,,,,,,No,Yes,Yes,No,2.0,,4.0,2.0,,2/13/2019 5:22:08 PM,,,"publicly traded, stock ticker, market cap, revenue, year"
2294,973,,Coway Co Ltd\A0,No exposure,,Jonathan,,6/29/2016,-,,,,,,,coway.com,,"Korea, Rep",Publicly traded,KRX: 021240,Housewares,Consumer Goods,,8060000000000.0,,2320000000000.0,KRW,6705920000.0,1930240000.0,6/29/2016,,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,1/26/2019 2:14:34 AM,,,
2299,1159,2245.0,Domino's,Yes,yes,Jonathan,2017.0,10/1/2018,9 Month,11/27/2018,,Progressive Food Solutions,,,,biz.dominos.com,,United States,Publicly traded,NYSE:DPZ,Restaurants & Bars,"& Restaurants, Gaming, Lodging",,9970000000.0,,2470000000.0,USD,9970000000.0,2470000000.0,2/27/2018,dominos,,,,,,,,,,,Yes,Yes,Potential,Yes,3.0,,2.0,1.0,,1/26/2019 2:14:34 AM,,,
2301,1161,2190.0,Domtar Corporation,yes,yes,Luke,2016.0,10/9/2018,6 Month,7/23/2018,,Domtar Distribution Group,"Cougar, First Choice, Husky Opaque Offset, Lynx Opaque Ultra, Sandpiper","Cougar,  First Choice,  Husky Opaque Offset,  Lynx Opaque Ultra,  Sandpiper",,www.domtar.com,,Canada,Publicly traded,TSX: UFS,Paper/Pulp,Basic Materials/Resources,,3020000000.0,,5160000000.0,USD,3200000000.0,5100000000.0,10/9/2018,DomtarEveryday,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,4.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
2302,1162,2347.0,Orsted,Yes,yes,Nathan,2017.0,2/4/2019,9 Month,12/29/2017,,,"Dansk Naturgas, Dansk Olieog Naturgas, Orsted","Dansk Naturgas,  Dansk Olieog Naturgas,  Orsted",,https://orsted.com/,,Denmark,Publicly traded,OMX: ORSTED,Electric Utilities,Utilities,Yes,201870000000.0,Yes,59710000000.0,DKK,16015821140.0,8351335410.0,2/4/2019,Orsted,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"website, twitter, revenue, market cap"
2328,1530,2089.0,FUJITSU,Yes,Yes,Luke,2016.0,9/4/2018,12 Month,9/27/2017,,,Fujitsu General Group,Fujitsu General Group,,www.fujitsu.com,,Japan,Public,FJTSY,Computers/Consumer Electronics,Technology,,1660000000000.0,,4409830000000.0,JPY - Japanese Yen,17464590.0,39991380.0,09/04/2018,Fujitsu_Global,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,3.0,,2/13/2019 5:22:08 PM,,,"Website, publicly traded, stock ticker, market cap, revenue, finance year"
2363,2179,,Johnson Controls,"No commitment, has exposure",,Philip,,7/21/2017,12 Month,7/21/2018,,Tyco,,,,www.johnsoncontrols.com,,United States,Publicly traded,NYSE: JCI,Diversified Holding Companies,Business/Consumer Services,,41380000000.0,,,USD,41380000000.0,0.0,7/21/2017,johnsoncontrols,,,,,,,,,,,No,No,No,No,0.0,,1.0,1.0,,1/26/2019 2:14:34 AM,,,
2373,2387,,Lawson,"No commitment, has exposure",,Laura,,9/7/2018,12 Month,6/14/2018,,,,,,lawson.jp/en,,Japan,Public,JP: 2651,Food Retailers & Wholesalers,Retail/Wholesale,,676020000000.0,,657320000000.0,JPY,6422919360.0,5326193730.0,2018,lawsonofficiale,,,,,,,,,,,no,no,no,no,0.0,,0.0,2.0,,1/26/2019 2:14:40 AM,,,"market capitalization, annual revenue, finance year, ticker"
2389,2577,,Mayr-Melnhof Karton Aktiengesellschaft,"No commitment, has exposure",,Philip,,2/8/2018,12 Month,2/8/2019,,,Mayr-Melnhof Karton A G,Mayr-Melnhof Karton A G,,www.mayr-melnhof.com/en.html,,Austria,Publicly traded,Vienna: MMK,Containers/Packaging,Industrial Goods,,2440000000.0,,2270000000.0,EUR,2649671640.0,2465063370.0,2/9/2018,,,,,,,,,,,,No,No,Potential,No,0.0,,1.0,1.0,,2/13/2019 5:22:08 PM,,,
2391,2579,,Mazda Motor Corporation,"No commitment, has exposure",,Philip,,2/8/2018,12 Month,2/8/2019,,,Mazda,Mazda,,www.mazda.com,,Japan,Publicly traded,Tokyo: 7261,Auto & Commercial Vehicle Parts,Automotive,,955920000000.0,,3210000000000.0,JPY,8065097040.0,27082770000.0,2/9/2018,,,,,,,,,,,,No,No,Potential,Potential,0.0,,3.0,2.0,,2/13/2019 5:22:08 PM,,,
2406,155,,Aimia Loyalty Analytics,No exposure,,Jonathan,,6/14/2017,-,,,"Nectar, Carlson Marketing",,,,www.aimia.com,,Canada,Publicly traded,CA: AIM,Advertising/Marketing/Public Relations,Business/Consumer Services,,1360000000.0,,2460000000.0,CAD,959002640.0,1734666540.0,3/21/2016,AimiaInc,,,,,,,,,,,,,,,0.0,,0.0,1.0,,2/12/2019 4:40:47 PM,Yes,,
2409,158,,Air France KLM S.A.,No - profiled under subsidiary,,Philip,,3/30/2017,12 Month,3/30/2018,,"AirFrance, KLM, transavia, HOP!, Servair",,,,www.airfranceklm.com,,France,Publicly traded,Paris: AF,Passenger Airlines,Transportation/Logistics,,2120000000.0,,24840000000.0,EUR,2302173720.0,26974526040.0,3/30/2017,AirFranceKLM,,,,,,,,,,,,,,,0.0,,0.0,1.25,,1/26/2019 2:14:52 AM,,,
2415,164,6.0,Ajinomoto,Yes,yes,An,2016.0,8/28/2018,9 Month,5/21/2018,,Taiso Commerce,Ajinomoto Co Inc.,Ajinomoto Co Inc.,,www.ajinomoto.com,,Japan,Publicly traded,JP: 2802,Food Products,Consumer Goods,,1072000000000.0,,1150000000000.0,JPY,10714990000.0,9196330000.0,07/31/2018,,,,,,,,,,,,No,Yes,Yes,No,3.0,,11.0,5.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
2417,403,20.0,Avon,Yes,yes,Nathan,2016.0,3/15/2017,9 Month,12/15/2017,,"PT Avon Indonesia, Avon Industrial Ltda",Avon Products,Avon Products,,www.avon.com,,United States,Publicly traded,NYSE: AVP,Personal Care Products/Appliances,Consumer Goods,Yes,871450000.0,,5720000000.0,USD,1850000000.0,5720000000.0,1/19/2019,avonworldwide,,,,,,,,,,,No,Yes,Yes,No,2.0,,12.0,4.0,,2/13/2019 5:22:08 PM,,,"Market cap, twitter, subsidiaries"
2420,406,1897.0,AXA Group,yes,yes,Jonathan,2016.0,3/21/2017,12 Month,3/21/2018,,,,,,www.us.axa.com/home.html,,France,Publicly traded,CS: AXA S.A.,Full-Line Insurance,Financial Services,,53540000000.0,,100190000000.0,HUF,185034240.0,346256640.0,3/21/2017,AXA_US,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.0,,1/26/2019 2:14:58 AM,,,
2424,410,21.0,Axfood,Yes,yes,Laura,2016.0,10/31/2018,6 Month,12/27/2017,,"Willys, Hemk\F6p","Eldorado, Fixa, Garant, Hemkop, Premier, Willys","Eldorado,  Fixa,  Garant,  Hemkop,  Premier,  Willys",,www.axfood.se,,Sweden,Publicly traded,SE: AXFO,Food Retailers & Wholesalers,Retail/Wholesale,,33920000000.0,,45970000000.0,SEK,3518420708.0,5072946560.0,2017,,,,,,,,,,,,Yes,Yes,yes,Yes,4.0,,6.0,3.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
2439,612,,Boustead Plantations Berhad,,,,,,-,,Boustead Holdings,,,,,Boustead Plantations Berhad,,Malaysia,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,1.0,,1/26/2019 2:14:46 AM,,,
2459,991,2611.0,Croda International,Yes,yes,Jonathan,2016.0,10/13/2016,12 Month,10/13/2017,,Incotec Group BV,,,,www.croda.com,,United Kingdom,Publicly traded,LON: CRDA,Specialty Chemicals,Basic Materials/Resources,,3870000000.0,,1050000000.0,GBP,5573794590.0,1512269850.0,2/18/2016,,,,,,,,,,,,No,Yes,No,No,1.0,,2.0,3.0,,1/26/2019 2:14:46 AM,,,
2471,1168,,Dow,"No commitment, has exposure",no,Jonathan,,3/15/2018,12 Month,3/15/2019,DowDuPont,Dow Agrosciences,,,,www.dow.com,,United States,Publicly traded,NYSE:DOW,Commodity Chemicals,Basic Materials/Resources,,,,48830000000.0,USD,0.0,48830000000.0,6/1/2016,DowChemical,,,,,,,,,,,No,No,No,No,0.0,,4.0,4.75,,1/26/2019 2:14:40 AM,,,
2480,1177,,Dragsbaek A/S,No - profiled under other name,,Jonathan,,10/18/2016,-,,Orkla,"VMG, Kjarnav\F6rur",,,,www.dragsbaek.dk,,Denmark,Publicly traded,Subsidiary,Food Products,Consumer Goods,No,,No,,,,,,,,,,,,,,,,,No,No,No,No,0.0,,1.0,0.0,,1/26/2019 2:14:40 AM,,,
2481,1178,69.0,Drax Group,Yes,yes,Nathan,2016.0,2/4/2019,9 Month,8/8/2017,,"Drax Power ltd, Drax Biomass, Billington Bioenergy, Haven Energy, Opus Energy",,,,www.drax.com,,United Kingdom,Publicly traded,UK:DRX,Electric Utilities,Utilities,Yes,1590000000.0,,3690000000.0,GBP,1814723820.0,4421588990.0,2017,Draxnews,,,,,,,,,,,No,No,Yes,No,2.0,,1.0,1.0,,2/4/2019 1:51:08 PM,,,"Subsidiaries, annual revenue, market cap, twitter"
2515,1782,92.0,H & M,Yes,yes,Daniel,2016.0,3/8/2018,6 Month,9/8/2018,,FaBric Scandinavien,"Cheap Monday & Other Stories, COS, H & M Hennes & Mauritz AB, Monki","Cheap Monday & Other Stories,  COS,  H & M Hennes & Mauritz AB,  Monki",,about.hm.com/en.html,,Sweden,Publicly traded,SE: HMB,Apparel Retailers,Retail/Wholesale,,359150000000.0,,192270000000.0,SEK,42019113400.0,22494820920.0,9/18/2017,hm,,,,,,,,,,,No,Yes,Yes,Potential,6.0,,8.0,8.0,,2/13/2019 5:22:08 PM,,,
2534,2210,120.0,Kajima Corporation,Yes,yes,Nathan,2016.0,2/14/2019,9 Month,8/15/2017,,"Taiko Trading Co., Ltd., Chemical Grouting Co., Ltd., Kajima Road Co., Ltd., Japan Sea Works Co., Ltd., Chuo Industries Co., Ltd., Kajima Kress Corporation, Kajima Environment Engineering Corporation, Kajima Mechatro Engineering Co., Ltd., Grout Trading Co., Ltd., KRC Co., Ltd., Clima-Teq Co., Ltd. KAJIMA BUILDING & DESIGN GROUP, INC, KCS WEST, INC., HAWAIIAN DREDGING CONSTRUCTION COMPANY, INC, BATSON-COOK COMPANY, PT KAJIMA INDONESIA, THAI KAJIMA CO., LTD. , KAJIMA PHILIPPINES INC., KAJIMA AUSTRALIA PTY LTD",,,,www.kajima.co.jp,,Japan,Publicly traded,JP: 1812,Construction,Real Estate/Construction,Yes,806200000000.0,Yes,1830000000000.0,JPY,6190842801.0,14680380000.0,2/14/2019,Kajima_UK,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,2.0,,2/15/2019 10:15:45 AM,,,"Twitter, Revenue, Market Cap"
2538,2214,,Kameda Seika,"No commitment, has exposure",,Jonathan,,6/14/2017,12 Month,6/14/2018,,,,,,www.kamedaseika.co.jp/en/enIndex.html,,Japan,Publicly traded,Tokyo: 2220,Food Products,Consumer Goods,,100880000000.0,,94850000000.0,JPY,851124560.0,800249450.0,3/23/2016,,,,,,,,,,,,no,no,no,no,0.0,,0.0,0.0,,1/26/2019 2:14:58 AM,,,
2542,2218,122.0,Kao Corporation,Yes,yes,Laura,2016.0,9/12/2018,6 Month,10/30/2018,,,"Ban, Biore, Fatty Chemical (Malaysia) Sd. Bhd., Goldwell, Guhl, Jergensand Curel, John Frieda, KMS California, Molton Brown, Pilipinaskao Inc., Quimi-Kao SAde C. V.","Ban,  Biore,  Fatty Chemical (Malaysia) Sd. Bhd.,  Goldwell,  Guhl,  Jergensand Curel,  John Frieda,  KMS California"," Molton Brown,  Pilipinaskao Inc.,  Quimi-Kao SAde C. V.",www.kao.com,,Japan,Public,TYO: 4452,Personal Care Products/Appliances,Consumer Goods,,4340000000000.0,,1490000000000.0,JPY,32144970000.0,12318020000.0,2017,,,,,,,,,,,,No,Yes,Yes,No,2.0,,16.0,7.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
2558,2436,,Life Corporation,No - profiled under parent,,Jonathan,,6/14/2017,12 Month,6/14/2018,Mitsubishi Corporation,,,,,www.lifecorp.jp/index.html,,Japan,Publicly traded,Tokyo: 8194,Food Retailers & Wholesalers,Retail/Wholesale,,174780000000.0,,652970000000.0,JPY,1474618860.0,5509107890.0,6/14/2017,,,,,,,,,,,,no,no,no,no,0.0,,0.0,3.0,,1/26/2019 2:14:58 AM,,,
2561,2549,146.0,Marks & Spencer,Yes,yes,Luke,2016.0,9/28/2018,6 Month,9/30/2018,,,M&S,M&S,,www.marksandspencer.com,,United Kingdom,Public,UK:MKS,Mixed Retailing,Retail/Wholesale,,4620000000.0,,10700000000.0,GBP,6250715380.0,15295529340.0,9/17/2018,MandSnews,,,,,,,,,,,Yes,Yes,Yes,Yes,7.0,,19.0,16.0,,2/13/2019 5:22:08 PM,Yes,,"Market cap, annual revenue, finance year"
2577,167,,AKITA,No exposure,No,Philip,,12/29/2015,-,,,,,,,www.akita-bank.co.jp/index.htm,,Japan,Publicly traded,JP: 8343,Banking,Financial Services,,73940000000.0,,,JPY,623831780.0,0.0,12/29/2015,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
2588,361,2427.0,ASOS,Yes,yes,Daniel,2017.0,2/8/2018,9 Month,11/8/2018,,,,,,www.asosplc.com,,United Kingdom,Publicly traded,London: ASC,Clothing,Retail/Wholesale,,5990000000.0,,1923600000.0,GBP,8627139430.0,2770478365.2,8/31/2017,ASOS,,,,,,,,,,,No,No,Yes,Former,3.0,,0.0,3.0,,1/26/2019 2:14:46 AM,,,
2597,370,16.0,Associated British Foods,Yes,yes,Jonathan,2016.0,3/28/2017,9 Month,12/28/2017,,"AB Agri, Allied Bakeries, Speedibake, Frontier (50%), Allied Mills, AB Enzymes, Abitec Corporation, George Weston Foods,Westmill Foods, PGP International, SPI Pharma, Cereform","AB F Ingredients, Allinson, Argo, Askeys, Baking Mad, Billington's, Blue Dragon, Capullo, Crusha, Don, Durkee, Jacksonsof Piccadilly, Jordans, K R Castlemaine, Karo, La Tisaniere, Mazola, Ohly, Ovaltine, Patak's, Ryvita, Silver Spoon, Spice Islands, Tip Top, Tone's, Twinings","AB F Ingredients,  Allinson,  Argo,  Askeys,  Baking Mad,  Billington's,  Blue Dragon,  Capullo"," Crusha,  Don,  Durkee,  Jacksonsof Piccadilly,  Jordans,  K R Castlemaine,  Karo,  La Tisaniere,  Mazola,  Ohly,  Ovaltine,  Patak's,  Ryvita,  Silver Spoon,  Spice Islands,  Tip Top,  Tone's,  Twinings",www.abf.co.uk,,United Kingdom,Publicly traded,UK: ABF,Food Products,Consumer Goods,,20980000000.0,,13400000000.0,GBP,30216591860.0,19299443800.0,3/28/2017,,,,,,,,,,,,Former,Yes,No,No,1.0,,15.0,2.25,,2/13/2019 5:22:08 PM,,,
2623,882,48.0,Coles Supermarkets,Yes,yes,Nathan,2016.0,2/1/2019,9 Month,3/26/2018,Wesfarmers,,"1st Choice, Bi-lo, Liquorland, Vintage Cellars","1st Choice,  Bi-lo,  Liquorland,  Vintage Cellars",,www.coles.com.au,,Australia,Publicly traded,Subsidiary,Food Retailers & Wholesalers,Consumer Goods,,,,,AUD,0.0,0.0,,Coles,,,,,,,,,,,No,Yes,No,Yes,2.0,,4.0,2.0,,2/13/2019 5:22:08 PM,,,None
2641,1068,62.0,Danone,Yes,yes,Laura,2016.0,9/28/2018,6 Month,8/13/2017,,,"Actimel, Activia, Almiron, Aptamil, Bledina, Brown Cow, Cow & Gate, Danimals, Dannon, Dann-o-nino, Milupa, Nutricia, Royal Numico, Stonyfield Farm, Yo Crunch","Actimel,  Activia,  Almiron,  Aptamil,  Bledina,  Brown Cow,  Cow & Gate,  Danimals"," Dannon,  Dann-o-nino,  Milupa,  Nutricia,  Royal Numico,  Stonyfield Farm,  Yo Crunch",www.danone.com,,France,Public,BN,Food Products,Consumer Goods,,44730000000.0,,24680000000.0,EUR,42774822090.0,24335713710.0,2017,Danone,,,,,,,,,,,Yes,Yes,Yes,Yes,5.0,,21.0,12.0,,2/13/2019 5:22:08 PM,Yes,,"public/private, ticker, market cap, annual revenue, finance year"
2656,1464,2409.0,Fonterra,Yes,yes,Nathan,2017.0,1/23/2019,9 Month,5/18/2018,,"Anchor Food Professionals, NZMP Ingredients, RD1, Soprole, Farm Source, Anchor Ethanol",Fonterra Co-operative Group Ltd,Fonterra Co-operative Group Ltd,,https://www.fonterra.com/nz/en.html,,New Zealand,Publicly traded,NZX: FCG,Food Products,Consumer Goods,,7590000000.0,,20440000000.0,NZD,6575025320.0,11263987600.0,2018,Fonterra,,,,,,,,,,,No,Yes,No,No,2.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"Company URL, Market cap, Annual revenue, finance year, researcher"
2676,1661,2529.0,Goodhope Asia Holdings,Yes,yes,Jonathan,2018.0,12/21/2018,6 Month,11/11/2017,Carson Cumberbatch,"Premium Nutrients, Premium Fats, Premium Vegetable Oils, PT Agro Bukit, PT Agro Wana Lestari",,,,www.goodhopeholdings.com,,Singapore,Publicly traded,Subsidiary,Farming,Agriculture,Subsidiary,,,,,,,,,,,,,,,,,,,No,Yes,No,No,1.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,
2710,2271,1926.0,Kingspan Group,Yes,yes,Jonathan,2016.0,4/26/2017,Predictable,Predictable,,"Kingspan Access Floors, Kingspan Insulation",,,,www.kingspan.com,,Ireland,Publicly traded,Dublin: KRX,Materials,Real Estate/Construction,,5630000000.0,,3110000000.0,EUR,6113791530.0,3377245410.0,4/26/2017,KingspanIP_NA,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,2.0,,1/26/2019 2:14:40 AM,,,
2713,2274,129.0,Kirin Holdings,Yes,yes,Laura,2016.0,9/12/2018,9 Month,10/31/2018,,"Lion Beer, Mercian Corporation, Eishogen Co., Four Roses Distillery, Castlemaine Perkins, Yo-Ho Brewing company, Industria Agricola Tozan, Interfood Shareholding company, Berri Limited",,,,www.kirinholdings.co.jp,,Japan,Public,JP: 2503,Alcoholic Beverages/Drinks,Consumer Goods,,2560000000000.0,,1860000000000.0,JPY,21683090000.0,17548960000.0,2017,Kirin_Company,,,,,,,,,,,No,Yes,Yes,No,3.0,,1.0,3.0,,1/26/2019 2:14:40 AM,,,"market capitalization, annual revenue, finance year, hq country, ticker"
2717,2278,130.0,Klabin,Yes,yes,Philip,2016.0,3/29/2018,Predictable,Predictable,Klabin Irmaos e Cia.,,"Lyptus Cel, Pine Cel, Pine Fluff","Lyptus Cel,  Pine Cel,  Pine Fluff",,www.klabin.com.br/pt,,Brazil,Publicly traded,BR: KLBN4,Containers/Packaging,Industrial Goods,,24960000000.0,,8370000000.0,BRL,6174255360.0,2070453420.0,3/29/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,5.0,3.0,,2/13/2019 5:22:08 PM,,,
2719,2280,1721.0,KLM (Royal Dutch Airlines),yes,yes,An,2016.0,12/27/2018,9 Month,12/30/2017,Air France KLM S.A.,"transavia.com, Martinair",,,,www.klm.com,,Netherlands,Publicly traded,AFLYY,Passenger Airlines,Transportation/Logistics,,4460000000.0,,25780000000.0,EUR,2139284070.0,28299361860.0,10/31/2018,KLM,,,,,,,,,,,Yes,Yes,Former,No,2.0,,2.0,1.5,,1/26/2019 2:14:40 AM,,,"ticker, market cap, annual rev"
2735,2638,,Microsoft,"No commitment, has exposure",,Jonathan,,8/30/2016,12 Month,8/30/2017,,,,,,www.microsoft.com,,United States,Publicly traded,Nasdaq: MSFT,Software,Technology,,452750000000.0,,84700000000.0,USD,452750000000.0,84700000000.0,8/30/2016,Microsoft,,,,,,,,,,,No,No,No,No,0.0,,0.0,2.0,,2/12/2019 4:40:47 PM,Yes,,
2739,2878,,Novozymes,No exposure,,Jonathan,,11/30/2016,-,,,Novo Group,,,,www.novozymes.com,,Denmark,Publicly traded,Denmark: OMX,Biotechnology,Health Care/Life Sciences,,73870000000.0,,14000000000.0,DKK,10749488530.0,2037266000.0,11/30/2016,Novozymes,,,,,,,,,,,,,,,0.0,,0.0,4.0,,1/26/2019 2:14:34 AM,,,
2740,2879,,Novozymes,"No commitment, has exposure",,Jonathan,,11/30/2016,12 Month,11/30/2017,,,,,,www.novozymes.com/en,,Denmark,Publicly traded,Denmark: OMX,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,2.0,,1/26/2019 2:14:34 AM,,,
2748,3084,,Pioneer Foods,"No commitment, has exposure",,Jonathan,,7/24/2017,12 Month,7/24/2018,,"Bokomo Foods, Alpen Foods, Bowman Ingredients, Future Life","Ceres, Duens, Liqui-Fruit, Safari, Sasko, Spekko, WEET-BIX, White Star Super Maize Meal","Ceres,  Duens,  Liqui-Fruit,  Safari,  Sasko,  Spekko,  WEET-BIX,  White Star Super Maize Meal",,www.pioneerfoods.co.za,,South Africa,Publicly traded,ZA: PFG,Food Products,Consumer Goods,,34380000000.0,,20600000000.0,ZAR,2112066540.0,1265519800.0,7/24/2017,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.25,,2/13/2019 5:22:08 PM,,,
