PublicOrPrivate,CompanyName,HeadquarterCountry,TickerSymbol,FinancesCurrency
Publicly traded,Nissin Foods (USA),United States,Subsidiary,JPY
Publicly traded,Astra Agro Lestari,Indonesia,Jakarta: AALI,IDR
Publicly traded,Atria Group,Finland,Helsinki: ATRAV,EUR
Publicly traded,Atria Scandinavia,Sweden,Subsidiary,EUR
Publicly traded,Cereform,United Kingdom,Subsidiary,
Publicly traded,EBARA FOODS,Japan,Tokyo: 2819,JPY
Publicly traded,Felda Global Ventures,Malaysia,Malaysia: FGV,MYR
Publicly traded,Femsa,Mexico,Mexico: FEMSAUBD,MXN
Publicly traded,Golden Plantation TBK,Indonesia,,
Publicly traded,House Foods,Japan,Tokyo: 2810,JPY
Publicly traded,Ito En,Japan,Tokyo: 2593,JPY
Publicly traded,Itochu Corporation,Japan,Tokyo: 8001,JPY
Publicly traded,Kusuri No Aoki,Japan,Tokyo: 3549,JPY
Publicly traded,Lowe's Companies,United States,NYSE: LOW,USD
Publicly traded,Prada,Italy,Hong Kong: 1913,HKD
Publicly traded,Apple,UNITED STATES,Nasdaq: AAPL,USD
Publicly traded,Arata,Japan,Tokyo: 2733,JPY
Publicly traded,Cermaq,Norway,Subsidiary,NOK
Public,CostCo,United States,COST,USD
Publicly traded,Coway Co Ltd\A0,"Korea, Rep",KRX: 021240,KRW
Publicly traded,Domino's,United States,NYSE:DPZ,USD
Publicly traded,Domtar Corporation,Canada,TSX: UFS,USD
Publicly traded,Orsted,Denmark,OMX: ORSTED,DKK
Public,FUJITSU,Japan,FJTSY,JPY - Japanese Yen
Publicly traded,Johnson Controls,United States,NYSE: JCI,USD
Public,Lawson,Japan,JP: 2651,JPY
Publicly traded,Mayr-Melnhof Karton Aktiengesellschaft,Austria,Vienna: MMK,EUR
Publicly traded,Mazda Motor Corporation,Japan,Tokyo: 7261,JPY
Publicly traded,Aimia Loyalty Analytics,Canada,CA: AIM,CAD
Publicly traded,Air France KLM S.A.,France,Paris: AF,EUR
Publicly traded,Ajinomoto,Japan,JP: 2802,JPY
Publicly traded,Avon,United States,NYSE: AVP,USD
Publicly traded,AXA Group,France,CS: AXA S.A.,HUF
Publicly traded,Axfood,Sweden,SE: AXFO,SEK
Publicly traded,Boustead Plantations Berhad,Malaysia,,
Publicly traded,Croda International,United Kingdom,LON: CRDA,GBP
Publicly traded,Dow,United States,NYSE:DOW,USD
Publicly traded,Dragsbaek A/S,Denmark,Subsidiary,
Publicly traded,Drax Group,United Kingdom,UK:DRX,GBP
Publicly traded,H & M,Sweden,SE: HMB,SEK
Publicly traded,Kajima Corporation,Japan,JP: 1812,JPY
Publicly traded,Kameda Seika,Japan,Tokyo: 2220,JPY
Public,Kao Corporation,Japan,TYO: 4452,JPY
Publicly traded,Life Corporation,Japan,Tokyo: 8194,JPY
Public,Marks & Spencer,United Kingdom,UK:MKS,GBP
Publicly traded,AKITA,Japan,JP: 8343,JPY
Publicly traded,ASOS,United Kingdom,London: ASC,GBP
Publicly traded,Associated British Foods,United Kingdom,UK: ABF,GBP
Publicly traded,Coles Supermarkets,Australia,Subsidiary,AUD
Public,Danone,France,BN,EUR
Publicly traded,Fonterra,New Zealand,NZX: FCG,NZD
Publicly traded,Goodhope Asia Holdings,Singapore,Subsidiary,
Publicly traded,Kingspan Group,Ireland,Dublin: KRX,EUR
Public,Kirin Holdings,Japan,JP: 2503,JPY
Publicly traded,Klabin,Brazil,BR: KLBN4,BRL
Publicly traded,KLM (Royal Dutch Airlines),Netherlands,AFLYY,EUR
Publicly traded,Microsoft,United States,Nasdaq: MSFT,USD
Publicly traded,Novozymes,Denmark,Denmark: OMX,DKK
Publicly traded,Novozymes,Denmark,Denmark: OMX,
Publicly traded,Pioneer Foods,South Africa,ZA: PFG,ZAR
Publicly traded,PZ Cussons,United Kingdom,UK: PZC,GBP
Publicly traded,QL Resources Berhad,Malaysia,,
Publicly traded,Sealed Air,United States,NYSE: SEE,USD
Public,Softbank Group Corp.,Japan,Tokyo: 9984,JPY
Publicly traded,Verso Corporation,United States,NYSE: VRS,USD
Publicly traded,VF Corporation,United States,NYSE: VFC,USD
Public,Test Company,Ireland,,
Public,Amazon,United States,AMZN,USD - US Dollar
Publicly traded,Lenzing,Austria,LNZ,EUR
Publicly traded,Marubeni,Japan,Tokyo: 8002,JPY
Publicly traded,Mulberry Company (Design),United Kingdom,London: MUL,GBP
Publicly traded,Obrascon Huarte Lain (OHL),Spain,OHL:ES,EUR
Publicly traded,Office Depot,United States,Nasdaq: ODP,USD
Publicly traded,Premium Fats,Malaysia,Subsidiary,
Publicly traded,Premium Vegetable Oils,Malaysia,Subsidiary,
Publicly traded,PTT PLC,Thailand,TH: PTT,THB
Publicly traded,Puma,Germany,XE: PUM,EUR
Publicly traded,Sampoerna Agro,Indonesia,,IDR
Publicly traded,SLC Agr\EDcola,Brazil,,
Publicly traded,Taisei Corporation,Japan,Tokyo: 1801,JPY
Publicly traded,Unilever,United Kingdom,NYSE: UN,EUR
Publicly traded,Unilever NV,Netherlands,NYSE: UN,USD
Publicly traded,Uni-President Enterprises,Taiwan,Taiwan: 1216,TWD
Publicly traded,X5 Retail Group,Russia,IOB: FIVE,USD
Publicly traded,Nike,United States,NYSE: NKE,USD
Publicly traded,Paltac,Japan,Tokyo: 8283,JPY
Publicly traded,Seven & I Holdings Co.,Japan,Tokyo: 3382,JPY
Publicly traded,SGS,Switzerland,SIX: SGSN,
Publicly traded,Staples,United States,Nasdaq: SPLS,USD
Publicly traded,Starbucks Coffee Company,United States,Nasdaq: SBUX,USD
Publicly traded,Stella McCartney,United Kingdom,Subsidiary,GBP
Publicly traded,Toppan Printing Co.,Japan,JP: 7911,JPY
Publicly traded,Wesfarmers,Australia,AU: WES,AUD
