No.,Member ID (internal),Organisation Name,Country,Submission Date,Primary Activity or Product,Membership Number
91,5175,PT. Perkebunan Nusantara V (PERSERO),Indonesia,"May 4, 2018, 10:24 pm",opg,1-0211-16-000-00
92,23,PT. PP London Sumatra Indonesia Tbk,Indonesia,"May 4, 2018, 11:50 pm",opg,1-0015-04-000-00
93,1304,PT. Rimba Mujur Mahkota,Indonesia,"April 5, 2018, 5:09 pm",opg,1-0124-12-000-00
94,197,PT. Salim Ivomas Pratama Tbk,Indonesia,"May 4, 2018, 11:00 pm",opg, processor
95,155,PT. Sampoerna Agro Tbk,Indonesia,"May 2, 2018, 8:11 pm",opg,1-0031-07-000-00
96,4609,PT. Sanggam Harapan Sejahtera,Indonesia,"May 2, 2018, 10:34 am",opg,1-0206-16-000-00
97,1043,PT. Sawit Sumbermas Sarana,Indonesia,"May 9, 2018, 11:28 pm",opg,1-0111-07-000-00
98,1840,PT. Siringo Ringo,Indonesia,"May 3, 2018, 6:06 pm",opg,1-0136-13-000-00
99,30,PT. Socfin Indonesia,Indonesia,"April 28, 2018, 11:54 am",opg,1-0017-04-000-00
100,251,PT. Tri Bakti Sarimas,Indonesia,"April 26, 2018, 5:53 pm",opg,1-0065-08-000-00
101,1023,PT. Triputra Agro Persada,Indonesia,"May 3, 2018, 10:03 am",opg,1-0038-07-000-00
102,25,PT. Tunas Baru Lampung Tbk,Indonesia,"April 25, 2018, 5:08 pm",opg,1-0024-06-000-00
103,897,PT. Unggul Lestari,Indonesia,"May 3, 2018, 5:50 pm",opg,1-0100-11-000-00
104,200,R.E.A. Holdings Plc,United Kingdom,"May 3, 2018, 8:08 pm",opg,1-0045-07-000-00
105,3211,Saikueng Bansawan Community Enterprise,Thailand,"April 26, 2018, 4:42 pm",opg, smallholder
106,966,Santa Rosa S.A,Guatemala,"May 4, 2018, 11:09 pm",opg,1-0119-11-000-00
107,2504,Savonnerie Tropicale S.A,Madagascar,"April 30, 2018, 10:44 pm",opg,1-0149-14-000-00
108,5946,SAWIT KINABALU SDN. BHD.,Malaysia,"May 4, 2018, 11:18 pm",opg, processor
109,27,SIAT SA,Belgium,"April 19, 2018, 2:41 am",opg, processor
110,3330,Sichon Palm Yangyuen Community Enterprise Group,Thailand,"April 26, 2018, 5:06 pm",opg,1-0166-14-000-00
111,29,Sime Darby Plantation Berhad,Malaysia,"May 4, 2018, 6:13 pm",opg, processor
112,156,SIPEF Group,Belgium,"May 3, 2018, 7:20 pm",opg,1-0021-05-000-00
113,3703,SIPEF-CI,CÌ«te D'ivoire,"May 2, 2018, 7:55 pm",opg,1-0178-15-000-00
114,4125,SOTRADER (Societe Gabonaise De Transformation Agricol),Gabon,"May 4, 2018, 11:58 am",opg,1-0187-15-000-00
115,5870,"Southern Palm Oil Industry (1993) Co.,Ltd",Thailand,"May 2, 2018, 5:42 pm",opg, cgm
116,3229,Srijaroen Sustainable Oil Palm Production Community Enterprise Group,Thailand,"April 26, 2018, 5:20 pm",opg, smallholder
117,3475,Sustainable Krabi Oil-Palm farmers Cooperative Federation,Thailand,"March 9, 2018, 3:03 pm",opg,1-0168-14-000-00
118,3278,Tapi-Ipun Sustainable Oil Palm community  Enterprise Group,Thailand,"April 9, 2018, 11:39 am",opg,1-0164-14-000-00
119,765,TDM Plantation Sdn Bhd,Malaysia,"April 29, 2018, 1:08 pm",opg,1-0095-11-000-00
120,3019,TECK GUAN HOLDINGS SDN. BHD.,Malaysia,"April 24, 2018, 9:16 am",opg,1-0197-16-000-00
121,550,Tian Siang Holdings Sdn Bhd,Malaysia,"May 3, 2018, 7:01 pm",opg,1-0097-11-000-00
122,3471,Trang sustainable palm oil grower community enterprise network,Thailand,"May 4, 2018, 7:03 pm",opg,1-0167-14-000-00
123,2597,TSH Resources Berhad,Malaysia,"May 2, 2018, 4:39 pm",opg,1-0173-14-000-00
124,2825,TWIFO OIL PALM PLANTATIONS LIMITED,Ghana,"April 20, 2018, 8:26 pm",opg,1-0157-14-000-00
125,214,United Palm Oil Industry Public Company Limited (UPOIC),Thailand,"April 25, 2018, 9:49 am",opg,1-0046-08-000-00
126,33,United Plantations Bhd,Malaysia,"April 21, 2018, 10:57 am",opg, processor
127,294,Univanich Palm Oil Public Company Limited,Thailand,"May 4, 2018, 5:18 pm",opg,1-0074-09-000-00
128,1233,UPOIC Nuakhlong-Khaopanom,Thailand,"April 21, 2018, 6:18 pm",opg, smallholder
129,3376,Volta Red Limited,Ghana,"April 20, 2018, 9:30 pm",opg,1-0192-15-000-00
130,2040,Wild Asia Sdn. Bhd. (Wild Asia Group Scheme),Malaysia,"May 3, 2018, 4:14 pm",opg,1-0138-13-000-00
